Code,name,symptoms_0,symptoms_1,symptoms_2,symptoms_3,symptoms_4,symptoms_5,symptoms_6,symptoms_7,symptoms_8,symptoms_9,symptoms_10,symptoms_11,symptoms_12,symptoms_13,symptoms_14,symptoms_15,symptoms_16,symptoms_17,symptoms_18,symptoms_19,symptoms_20,symptoms_21,symptoms_22,symptoms_23,Description,commonTestsAndProcedures,commonMedications,age,gender,race/ethnicity
27,Pyloric stenosis,Vomiting,84,Sharp abdominal pain,35,Infant spitting up,35,Vomiting blood,35,Cough,35,Arm stiffness or tightness,21,Regurgitation,21,Burning abdominal pain,21,Restlessness,21,Pain during pregnancy,21,Symptoms of infants,21,Wheezing,"21"""," Also known as Gastric Outlet Obstruction, Pyloric Obstruction, and Gastric Outflow Obstruction , , ,Pyloric stenosis (or infantile hypertrophic pyloric stenosis or pylorostenosis) is a condition that causes severe projectile non-bilious vomiting in the first few months of life. There is narrowing (stenosis) of the opening from the stomach to the first part of the small intestine known as the duodenum, due to enlargement (hypertrophy) of the muscle surrounding this opening (the pylorus, meaning ""gate""), which spasms when the stomach empties. This hypertrophy is felt classically as an olive-shaped mass in the middle upper part or right upper quadrant of the infant's abdomen. In pyloric stenosis, it is uncertain whether there is a real congenital narrowing or whether there is a functional hypertrophy of the pyloric sphincter muscle. This condition typically develops in male babies in the first 26 weeks of life. , Source: Wikipedia,Patients with pyloric stenosis often receive ",",Radiographic imaging procedure,Hematologic tests Blood test,Complete blood count Cbc,Intravenous fluid replacement,Electrolytes panel,Glucose measurement Glucose level,Kidney function tests Kidney function test,Nebulizer therapy",",Nizatidine Axid,Simethicone Degas,Lactulose,Silver Sulfadiazine Topical,Niacin,Nystatin Topical Product,Mecamylamine,Grepafloxacin Raxar,Malathion Topical,Gemtuzumab Mylotarg,Gadoteridol Prohance","1-4,< 1",male,hispanic
28,Salivary gland disorder,Sore throat,44,Peripheral edema,44,Neck mass,35,Ear pain,35,Swollen lymph nodes,35,Throat feels tight,30,Facial pain,30,Skin swelling,24,Jaw swelling,24,Cough,24,Mouth dryness,24,Neck swelling,"24"""," Also known as Salivary Gland Disease , , ,The salivary glands in mammals are exocrine glands, glands with ducts, that produce saliva. They also secrete amylase, an enzyme that breaks down starch into maltose. In other organisms such as insects, salivary glands are often used to produce biologically important proteins like silk or glues, and fly salivary glands contain polytene chromosomes that have been useful in genetic research. , Source: Wikipedia,Patients with salivary gland disorder often receive ",",Complete physical skin exam performed ML,Other diagnostic procedures interview evaluation consultation,Biopsy,Excision Removal,Diagnostic procedures on nose mouth and pharynx,Hemoglobin A1c measurement Hemoglobin a1c test,Physical therapy exercises Exercises,Other diagnostic procedures on skin and subcutaneous tissue",",Meloxicam,Pramipexole Mirapex,Dicyclomine,Saliva Substitutes,Mequinol Tretinoin Topical,Bleomycin,Desflurane,Entacapone Comtan,Biotin,Rocuronium,Cefadroxil,Calcitriol",60-74,Unspecified,other
29,Osteochondrosis,Knee pain,84,Foot or toe pain,68,Bowlegged or knock-kneed,40,Ankle pain,35,Bones are painful,21,Knee weakness,21,Hand or finger pain,21,Elbow pain,12,Knee swelling,12,Skin moles,12,Knee lump or mass,12,Weight gain,"12"""," , ,Osteochondrosis is a family of orthopedic diseases of the joint that occur in children and adolescents and in rapidly growing animals, particularly pigs, horses, and dogs. They are characterized by interruption of the blood supply of a bone, in particular to the epiphysis, followed by localized bony necrosis, and later, regrowth of the bone. This disorder is defined as a focal disturbance of endochondral ossification and is regarded as having a multifactorial etiology, so no one thing accounts for all aspects of this disease. , Source: Wikipedia,Patients with osteochondrosis often receive ",",Plain x ray X ray,Radiographic imaging procedure,Physical therapy exercises Exercises,Examination of foot,Other diagnostic procedures interview evaluation consultation,Application of splint Splinting,Physical therapy exercises manipulation and other procedures,Orthopedic casting",",Acebutolol,Botulinum Toxin Type A Botox,Etodolac",5-14,male,other
30,Injury to the knee,Knee pain,94,Knee swelling,30,Leg pain,30,Problems with movement,19,Knee stiffness or tightness,11,Leg swelling,11,Knee weakness,11,Foot or toe swelling,6,Heartburn,6,Smoking problems,"6""",,,,," Also known as Knee Injury , , ,Injuries to the knee or the knee joint. , Source: MeSH,Patients with injury to the knee often receive ",",Radiographic imaging procedure,Plain x ray X ray,Magnetic resonance imaging Mri,Application of splint Splinting,Physical therapy exercises Exercises,Other therapeutic procedures,Other non OR therapeutic procedures on musculoskeletal system,Other OR therapeutic procedures on joints",",Chondroitin Glucosamine,Cortisone,Piroxicam,Nabumetone,Pentazocine Talwin,Alendronate Cholecalciferol,Moexipril,Desflurane,Insulin Detemir Levemir",45-59,Unspecified,other
31,Metabolic disorder,Weight gain,18,Jaundice,4,Mouth dryness,4,Muscle pain,4,Smoking problems,3,Infant feeding problem,1,Recent weight loss,1,Problems with shape or size of breast,1,Arm stiffness or tightness,1,Underweight,1,Difficulty eating,1,Scanty menstrual flow,"1"""," , ,Inborn errors of metabolism comprise a large class of genetic diseases involving disorders of metabolism. The majority are due to defects of single genes that code for enzymes that facilitate conversion of various substances (substrates) into others (products). In most of the disorders, problems arise due to accumulation of substances which are toxic or interfere with normal function, or to the effects of reduced ability to synthesize essential compounds. Inborn errors of metabolism are now often referred to as congenital metabolic diseases or inherited metabolic diseases. , Source: Wikipedia,Patients with metabolic disorder often receive ",",Hematologic tests Blood test,Lipid panel,Glucose measurement Glucose level,Hemoglobin A1c measurement Hemoglobin a1c test,Complete physical skin exam performed ML,Ultrasonography Ultrasound,Mammography Mammogram,Examination of foot",",Ursodiol Urso,Exenatide Byetta,Alglucosidase Alfa Myozyme,Levocarnitine,Fenofibric Acid Trilipix,Raltegravir Isentress,Potassium Citrate,Guar Gum",60-74,Unspecified,other
32,Vaginitis,Vaginal discharge,78,Vaginal itching,59,Sharp abdominal pain,49,Painful urination,40,Vaginal pain,29,Lower abdominal pain,26,Pelvic pain,23,Vaginal redness,19,Suprapubic pain,16,Pain during pregnancy,12,Vulvar irritation,10,Pain during intercourse,"10"""," Also known as Vagina Inflammation , , ,Vaginitis is an inflammation of the vagina. It can result in discharge, itching and pain, and is often associated with an irritation or infection of the vulva. It is usually due to infection. The three main kinds of vaginitis are bacterial vaginosis (BV), vaginal candidiasis, and trichomoniasis. A woman may have any combination of vaginal infections at one time. The symptoms that arise vary with the infection, although there are general symptoms that all vaginitis infections have and infected women may also be asymptomatic. Testing for vaginal infections is not a part of routine pelvic exams; therefore, women should neither assume their health care providers will know of the infection, nor that they will provide appropriate treatment without their input. , Source: Wikipedia,Patients with vaginitis often receive ",",Pelvis exam,Urinalysis,Standard pregnancy test,Chlamydia test,Examination of breast,Microscopic examination bacterial smear culture toxicology,Pap smear,Rectal examination",",Metronidazole,Fluconazole Diflucan,Metronidazole Topical Product,Terconazole Topical,Miconazole Topical Product,Betamethasone Clotrimazole Topical,Clindamycin Topical Product,Tinidazole,Nystatin Triamcinolone Topical,Cefixime Suprax,Pentosan Polysulphate Sodium Elmiron,Boric Acid Topical,Diflorasone Topical","30-44,15-29",female,black and
33,Sick sinus syndrome,Dizziness,37,Sharp chest pain,35,Shortness of breath,35,Palpitations,33,Fainting,26,Weakness,23,Irregular heartbeat,12,Decreased heart rate,8,Increased heart rate,4,Bleeding or discharge from nipple,"4""",,,,," , ,Sick sinus syndrome (SSS), also called sinus node dysfunction (SND), is an umbrella term for a group of abnormal heart rhythms (arrhythmias) presumably caused by a malfunction of the sinus node, the heart's primary pacemaker. Bradycardia-tachycardia syndrome is a variant of sick sinus syndrome in which slow arrhythmias and fast arrhythmias alternate. In recent years, the syndrome has become increasingly prevalent in dogs. The reason is unknown. , Source: Wikipedia,Patients with sick sinus syndrome often receive ",",Electrocardiogram,Other diagnostic procedures interview evaluation consultation,Ultrasonography Ultrasound,Echocardiography,Lipid panel,Diagnostic cardiac catheterization coronary arteriography,Depression screen Depression screening,Cardiac stress tests",",Warfarin,Digoxin,Sotalol,Amiodarone,Torsemide,Vitamin E Vita E,Bumetanide,Flecainide,Ibandronate Boniva,Dofetilide Tikosyn,Dopamine,Isosorbide Mononitrate Ismo,Nebivolol Bystolic",75+,Unspecified,other
34,Tinnitus of unknown cause,Ringing in ear,91,Diminished hearing,69,Dizziness,60,Ear pain,41,Headache,37,Plugged feeling in ear,34,Itchy ear(s),9,Frontal headache,9,Symptoms of eye,6,Hoarse voice,6,Fluid in ear,6,Neck stiffness or tightness,"6"""," , ,Do you hear a ringing, roaring, clicking or hissing sound in your ears? Do you hear this sound often or all the time? Does the sound bother you? If you answer is yes, you might have tinnitus. Millions of people in the U.S. have tinnitus. People with severe tinnitus may have trouble hearing, working or even sleeping. Causes of tinnitus include hearing loss, exposure to loud noises or medicines you may be taking for a different problem. Tinnitus may also be a symptom of other health problems, such as allergies, high or low blood pressure, tumors and problems in the heart, blood vessels, jaw and neck. Treatment depends on the cause. Treatments may include hearing aids, sound-masking devices, medicines and ways to learn how to cope with the noise. NIH: National Institute on Deafness and Other Communication Disorders , Source: MedlinePlus,Patients with tinnitus of unknown cause often receive ",",Ophthalmologic and otologic diagnosis and treatment,Magnetic resonance imaging Mri,Other therapeutic ear procedures,Other physical therapy and rehabilitation,Diagnostic procedures on ear,Diagnostic procedures on nose mouth and pharynx,Other OR therapeutic nervous system procedures,Upper gastrointestinal endoscopy biopsy",",Azelastine Nasal,Salmeterol,Levocetirizine Xyzal,Ginkgo Biloba Extract Ginkgo,Iodoquinol,Benzalkonium Chloride Topical,Aluminum Sulfate Calcium Acetate Topical,Magnesium Chloride,Dexamethasone Ophthalmic,Ciclesonide Nasal,Almotriptan Axert,Mineral Oil Stye",60-74,Unspecified,other
35,Glaucoma,Diminished vision,46,Pain in eye,32,Symptoms of eye,26,Spots or clouds in vision,19,Eye redness,16,Lacrimation,13,Itchiness of eye,8,Blindness,8,Eye burns or stings,5,Foreign body sensation in eye,5,Itchy eyelid,1,Feeling cold,"1"""," , ,Glaucoma is a term describing a group of ocular disorders with multi-factorial etiology united by a clinically characteristic intraocular pressure-associated optic neuropathy. This can permanently damage vision in the affected eye(s) and lead to blindness if left untreated. It is normally associated with increased fluid pressure in the eye (aqueous humour). The term ""ocular hypertension"" is used for people with consistently raised intraocular pressure (IOP) without any associated optic nerve damage. Conversely, the term 'normal tension' or 'low tension' glaucoma is used for those with optic nerve damage and associated visual field loss, but normal or low IOP. , Source: Wikipedia,Patients with glaucoma often receive ",",Ophthalmic examination and evaluation Eye exam,Ophthalmologic and otologic diagnosis and treatment,Other therapeutic procedures on eyelids conjunctiva cornea,Lens and cataract procedures,Diagnostic procedures on eye,Glaucoma procedures,Other intraocular therapeutic procedures,Other extraocular muscle and orbit therapeutic procedures",",Latanoprost,Bimatoprost Ophthalmic,Brimonidine Ophthalmic,Timolol,Travoprost Travatan,Prednisolone Ophthalmic,Brimonidine Timolol Ophthalmic,Dorzolamide Ophthalmic,Brinzolamide Ophthalmic,Tropicamide Ophthalmic,Apraclonidine Ophthalmic,Acetazolamide Diamox,Pilocarpine Ophthalmic","75+,60-74",Unspecified,other
36,Eating disorder,Depression,63,Anxiety and nervousness,51,Depressive or psychotic symptoms,43,Decreased appetite,41,Abusing alcohol,24,Excessive appetite,24,Difficulty eating,20,Weight gain,17,Excessive anger,13,Insomnia,13,Vomiting blood,9,Acne or pimples,"9"""," , ,Eating disorders are conditions defined by abnormal eating habits that may involve either insufficient or excessive food intake to the detriment of an individual's physical and mental health. Bulimia nervosa and anorexia nervosa are the most common specific forms in the United Kingdom. Other types of eating disorders include binge eating disorder and eating disorder not otherwise specified. Bulimia nervosa is a disorder characterized by binge eating and purging. Purging can include self-induce vomiting, over-exercising, and the usage of diuretics, enemas, and laxatives. Anorexia nervosa is characterized by extreme food restriction to the point of self-starvation and excessive weight loss. Though primarily thought of as affecting females (an estimated 510 million being affected in the U.K.), eating disorders affect males as well. An estimated 10  15% of people with eating disorders are males (Gorgan, 1999). (an estimated 1 million U.K. males being affected). Although eating disorders are increasing all over the world among both men and women, there is evidence to suggest that it is women in the Western world who are at the highest risk of developing them and the degree of westernization increases the risk. Nearly half of all Americans personally know someone with an eating disorder. The skill to comprehend the central processes of appetite has increased tremendously since leptin was discovered, and the skill to observe the functions of the brain as well. Interactions between motivational, homeostatic and self-regulatory control processes are involved in eating behaviour, which is a key component in eating disorders. , Source: Wikipedia,Patients with eating disorder often receive ",",Psychotherapy,Mental health counseling,Depression screen Depression screening,Psychological and psychiatric evaluation and therapy,Occupational therapy assessment Speech therapy,Other diagnostic radiology and related techniques",",Fluoxetine Prozac,Trazodone,Quetiapine Seroquel,Lamotrigine Lamictal,Topiramate Topamax,Venlafaxine Effexor,Aripiprazole Abilify,Minocycline,Benzoyl Peroxide Topical,Tranylcypromine Parnate,Phenelzine Nardil,Chlorpromazine Thorazine,Lisdexamfetamine Vyvanse",15-29,Unspecified,other
37,Transient ischemic attack,Loss of sensation,62,Dizziness,53,Headache,51,Weakness,46,Focal weakness,40,Slurring words,40,Difficulty speaking,33,Symptoms of the face,31,Depressive or psychotic symptoms,29,Diminished vision,29,Disturbance of memory,25,Paresthesia,"24"""," Also known as TIA , , ,A transient ischemic attack (TIA) is a transient episode of neurologic dysfunction caused by ischemia (loss of blood flow)  either focal brain, spinal cord or retinal  without acute infarction (tissue death). , Source: Wikipedia,Patients with transient ischemic attack often receive ",",Radiographic imaging procedure,Hematologic tests Blood test,Complete blood count Cbc,X ray computed tomography Scan ct,Electrocardiogram,Kidney function tests Kidney function test,Glucose measurement Glucose level,Electrolytes panel",",Clopidogrel Plavix,Deferasirox Exjade,Bethanechol,Dipyridamole,Gadopentetate Dimeglumine Magnevist,Bivalirudin,Propantheline","75+,60-74",Unspecified,other
38,Pyelonephritis,Side pain,75,Fever,70,Sharp abdominal pain,70,Back pain,68,Vomiting,57,Nausea,56,Painful urination,52,Low back pain,40,Lower abdominal pain,32,Blood in urine,30,Suprapubic pain,29,Frequent urination,"28"""," Also known as Bacterial Infection Of The Kidney , , ,Pyelonephritis (from Greek ?????  pyelum, meaning ""renal pelvis"", ??????  nephros, meaning ""kidney"", and -itis, meaning ""inflammation"") is an ascending urinary tract infection that has reached the pyelum or pelvis of the kidney. It is a form of nephritis that is also referred to as pyelitis. Severe cases of pyelonephritis can lead to pyonephrosis (pus accumulation around the kidney), urosepsis (a systemic inflammatory response of the body to infection), kidney failure and even death. , Source: Wikipedia,Patients with pyelonephritis often receive ",",Urinalysis,Hematologic tests Blood test,Complete blood count Cbc,Intravenous fluid replacement,Radiographic imaging procedure,Kidney function tests Kidney function test,Glucose measurement Glucose level,Electrolytes panel",",Ciprofloxacin,Levofloxacin Levaquin,Ceftriaxone,Phenazopyridine Azo,Cefotaxime,Cefixime Suprax,Doripenem,Dihydrocodeine Didone,Auranofin,Somatrem Protropin,Ganciclovir,Clotrimazole,Iodixanol",15-29,female,other
39,Rotator cuff injury,Shoulder pain,94,Arm pain,31,Shoulder stiffness or tightness,18,Shoulder weakness,9,Arm cramps or spasms,4,Arm stiffness or tightness,4,Neck stiffness or tightness,4,Hand or finger stiffness or tightness,2,Shoulder swelling,2,Tongue lesions,2,Leg cramps or spasms,2,Abnormal appearing tongue,"2"""," Also known as Rotator Cuff Tear and Rotator Cuff Rupture , , ,A rotator cuff tear is a tear of one or more of the tendons of the four rotator cuff muscles. A rotator cuff injury can include any type of irritation or damage to the rotator cuff muscles or tendons. , Source: Wikipedia,Patients with rotator cuff injury often receive ",",Radiographic imaging procedure,Plain x ray X ray,Physical therapy exercises Exercises,Magnetic resonance imaging Mri,Application of splint Splinting,Other therapeutic procedures on muscles and tendons,Other non OR therapeutic procedures on musculoskeletal system,Arthroplasty other than hip or knee",",Triamcinolone Topical Product,Bupivacaine,Rocuronium,Cortisone,Sevoflurane,Mepivacaine Carbocaine,Desflurane,Diclofenac Topical Product,Nitrous Oxide,Rapacuronium,Sulfur Topical","60-74,45-59",Unspecified,other
